Species,Tissue,n,Gene,Value,Log10value,Log2Value
Eruca vesicaria,Leaf (n=5),5,DFR/FLS,0.001825624,-2.73858866357055,-9.09739462185505
Eruca vesicaria,Flower (n=3),3,F3'H/F3H,0.181593218,-0.740900375199166,-2.4612177718867
Eruca vesicaria,Flower (n=3),3,F3'5'H/F3H,1000000,6,19.9315685693242
Eruca vesicaria,Flower (n=3),3,DFR/FLS,0.06763311,-1.16984064178086,-3.88612649447291
Eruca vesicaria,Seed (n=15),15,F3'H/F3H,36.78094086,1.56562283433871,5.20088647938695
Eruca vesicaria,Seed (n=15),15,F3'5'H/F3H,1000000,6,19.9315685693242
Eruca vesicaria,Seed (n=15),15,DFR/FLS,0.020123194,-1.69630308591807,-5.63499687855536
Isatis tinctoria,Leaf (n=13),13,F3H,0.0983734,-1.0071223181838,-3.34558792376286
Isatis tinctoria,Leaf (n=13),13,F3'H,14.289006,1.15500201859295,3.83683365521555
Isatis tinctoria,Leaf (n=13),13,F3'5'H,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,FLS H,1.44595,0.160153275600607,0.532017665705894
Isatis tinctoria,Leaf (n=13),13,FLS F,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,FLS Y,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,DFR N,0.01,-2,-6.64385618977472
Isatis tinctoria,Leaf (n=13),13,DFR D,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,DFR A,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,DFR *,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,F3H,0.436485,-0.360030676423847,-1.19599601903368
Isatis tinctoria,Root (n=17),17,F3'H,3.5811871,0.554027011426562,1.84043789458438
Isatis tinctoria,Root (n=17),17,F3'5'H,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,FLS H,3.37085,0.527739427210472,1.75311243003023
Isatis tinctoria,Root (n=17),17,FLS F,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,FLS Y,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,DFR N,0.3541495,-0.4508133670165,-1.49756958944288
Isatis tinctoria,Root (n=17),17,DFR D,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,DFR A,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,DFR *,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,F3'H/F3H,145.2527411,2.16212433681708,7.18242157911236
Isatis tinctoria,Leaf (n=13),13,F3'5'H/F3H,1000000,6,19.9315685693242
Isatis tinctoria,Leaf (n=13),13,DFR/FLS,0.006915868,-2.16015330449856,-7.17587395147755
Isatis tinctoria,Root (n=17),17,F3'H/F3H,8.204605198,0.914057687832101,3.03643391355724
Isatis tinctoria,Root (n=17),17,F3'5'H/F3H,1000000,6,19.9315685693242
Isatis tinctoria,Root (n=17),17,DFR/FLS,0.105062373,-0.978552794193801,-3.25068201936292
Capsella grandiflora,Leaf (n=105),105,F3H,0.01,-2,-6.64385618977472
Capsella grandiflora,Leaf (n=105),105,F3'H,12.069514,1.0816897828258,3.59329567952162
Capsella grandiflora,Leaf (n=105),105,F3'5'H,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,FLS H,8.91884,0.950308372945748,3.15685608289518
Capsella grandiflora,Leaf (n=105),105,FLS F,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,FLS Y,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,DFR N,0.138588,-0.85827437260591,-2.8511257514814
Capsella grandiflora,Leaf (n=105),105,DFR D,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,DFR A,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,DFR *,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,F3H,369.422,2.5675227551922,8.52912597473559
Capsella grandiflora,Flower (n=12),12,F3'H,24.58312815,1.39063714510228,4.61959660210922
Capsella grandiflora,Flower (n=12),12,F3'5'H,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,FLS H,278.577,2.44494525715104,8.12193234019165
Capsella grandiflora,Flower (n=12),12,FLS F,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,FLS Y,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,DFR N,0.3225625,-0.491386123585973,-1.63234936937804
Capsella grandiflora,Flower (n=12),12,DFR D,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,DFR A,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,DFR *,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,F3H,0.0138071,-1.85989752969466,-6.17844585750429
Capsella grandiflora,Root (n=4),4,F3'H,0.25051775,-0.601161497525466,-1.9970152681944
Capsella grandiflora,Root (n=4),4,F3'5'H,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,FLS H,0.2388655,-0.62184657206512,-2.06572959845252
Capsella grandiflora,Root (n=4),4,FLS F,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,FLS Y,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,DFR N,0.01,-2,-6.64385618977472
Capsella grandiflora,Root (n=4),4,DFR D,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,DFR A,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,DFR *,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,F3H,63.10445,1.80005998590501,5.97966983966039
Capsella grandiflora,Seed (n=8),8,F3'H,14.1977205,1.15221862228873,3.82758741283335
Capsella grandiflora,Seed (n=8),8,F3'5'H,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,FLS H,12.56925,1.09930936435429,3.65182666242129
Capsella grandiflora,Seed (n=8),8,FLS F,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,FLS Y,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,DFR N,109.531,2.03953705272462,6.77519543600968
Capsella grandiflora,Seed (n=8),8,DFR D,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,DFR A,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,DFR *,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,F3'H/F3H,1206.9514,3.0816897828258,10.2371518692963
Capsella grandiflora,Leaf (n=105),105,F3'5'H/F3H,1000000,6,19.9315685693242
Capsella grandiflora,Leaf (n=105),105,DFR/FLS,0.015538792,-1.80858274667578,-6.00798183811083
Capsella grandiflora,Flower (n=12),12,F3'H/F3H,0.066544841,-1.17688560828968,-3.9095293666461
Capsella grandiflora,Flower (n=12),12,F3'5'H/F3H,1000000,6,19.9315685693242
Capsella grandiflora,Flower (n=12),12,DFR/FLS,0.001157894,-2.93633119649993,-9.75428109754733
Capsella grandiflora,Root (n=4),4,F3'H/F3H,18.14412512,1.25873603207272,4.18143058898942
Capsella grandiflora,Root (n=4),4,F3'5'H/F3H,1000000,6,19.9315685693242
Capsella grandiflora,Root (n=4),4,DFR/FLS,0.041864564,-1.37815342740756,-4.57812658957048
Capsella grandiflora,Seed (n=8),8,F3'H/F3H,0.224987628,-0.647841362951125,-2.15208242461746
Capsella grandiflora,Seed (n=8),8,F3'5'H/F3H,1000000,6,19.9315685693242
Capsella grandiflora,Seed (n=8),8,DFR/FLS,8.714203314,0.940227688388148,3.12336877364759
Eutrema salsugineum ,Leaf (n=50),50,F3H,0.8231885,-0.084500705327047,-0.280705267063715
Eutrema salsugineum ,Leaf (n=50),50,F3'H,18.3430235,1.26347092245402,4.19715955437326
Eutrema salsugineum ,Leaf (n=50),50,F3'5'H,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,FLS H,10.50565,1.02142292801091,3.39309352132154
Eutrema salsugineum ,Leaf (n=50),50,FLS F,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,FLS Y,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,DFR N,2.0691345,0.315788722038029,1.0490274277867
Eutrema salsugineum ,Leaf (n=50),50,DFR D,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,DFR A,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,DFR *,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,F3'H/F3H,22.28289572,1.34797162786164,4.47786482170464
Eutrema salsugineum ,Leaf (n=50),50,F3'5'H/F3H,1000000,6,19.9315685693242
Eutrema salsugineum ,Leaf (n=50),50,DFR/FLS,0.196954448,-0.705634206679961,-2.34406609588372
Sinapis alba ,Leaf (n=11),11,F3H,65.9166,1.81899479821394,6.04256992464087
Sinapis alba ,Leaf (n=11),11,F3'H,2.7484677,0.439090637501789,1.45862752491919
Sinapis alba ,Leaf (n=11),11,F3'5'H,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,FLS H,169.028,2.22795865276898,7.40111844288068
Sinapis alba ,Leaf (n=11),11,FLS F,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,FLS Y,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,DFR N,0.6362,-0.196406335228655,-0.652447723009936
Sinapis alba ,Leaf (n=11),11,DFR D,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,DFR A,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,DFR *,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,F3H,14.2209298,1.15292799258278,3.82994388994282
Sinapis alba ,Root (n=16),16,F3'H,38.0993351,1.58091739654384,5.25169391527517
Sinapis alba ,Root (n=16),16,F3'5'H,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,FLS H,42.63515,1.6297677952672,5.41397142724073
Sinapis alba ,Root (n=16),16,FLS F,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,FLS Y,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,DFR N,0.3301958,-0.481228455144771,-1.59860632520466
Sinapis alba ,Root (n=16),16,DFR D,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,DFR A,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,DFR *,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,F3H,233.724848,2.36870488601497,7.8686673093501
Sinapis alba ,Stem (n=3),3,F3'H,84.91224041,1.92897029989465,6.40790063342335
Sinapis alba ,Stem (n=3),3,F3'5'H,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,FLS H,261.502,2.41747501475451,8.03067817020124
Sinapis alba ,Stem (n=3),3,FLS F,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,FLS Y,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,DFR N,266.084465,2.42501951956558,8.05574047269516
Sinapis alba ,Stem (n=3),3,DFR D,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,DFR A,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,DFR *,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,F3'H/F3H,0.041696139,-1.37990415818277,-4.58394239131925
Sinapis alba ,Leaf (n=11),11,F3'5'H/F3H,1000000,6,19.9315685693242
Sinapis alba ,Leaf (n=11),11,DFR/FLS,0.003763873,-2.42436503889242,-8.05356633495942
Sinapis alba ,Root (n=16),16,F3'H/F3H,2.679102959,0.427989404039845,1.42175002559406
Sinapis alba ,Root (n=16),16,F3'5'H/F3H,1000000,6,19.9315685693242
Sinapis alba ,Root (n=16),16,DFR/FLS,0.007744685,-2.11099624162897,-7.01257772326889
Sinapis alba ,Stem (n=3),3,F3'H/F3H,0.363300013,-0.439734586596883,-1.46076667750987
Sinapis alba ,Stem (n=3),3,F3'5'H/F3H,1000000,6,19.9315685693242
Sinapis alba ,Stem (n=3),3,DFR/FLS,1.017523633,0.007544504936371,0.025062302910147
Arabidopsis lyrata ,Leaf (n=26),26,F3H,55.138845,1.74145766464643,5.78499714224591
Arabidopsis lyrata ,Leaf (n=26),26,F3'H,10.1343785,1.00579712034065,3.34118571181641
Arabidopsis lyrata ,Leaf (n=26),26,F3'5'H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,FLS H,37.8135,1.57764687731857,5.24082948557589
Arabidopsis lyrata ,Leaf (n=26),26,FLS F,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,FLS Y,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,DFR N,4.29505,0.632968223952523,2.10267492631884
Arabidopsis lyrata ,Leaf (n=26),26,DFR D,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,DFR A,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,DFR *,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,F3H,538.29819,2.73102291952527,9.07226176415229
Arabidopsis lyrata ,Flower (n=3),3,F3'H,55.4371752,1.7438010927021,5.79278184174238
Arabidopsis lyrata ,Flower (n=3),3,F3'5'H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,FLS H,259.8,2.41463914673701,8.02125762056052
Arabidopsis lyrata ,Flower (n=3),3,FLS F,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,FLS Y,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,DFR N,0.426784,-0.369791870508021,-1.22842200390154
Arabidopsis lyrata ,Flower (n=3),3,DFR D,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,DFR A,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,DFR *,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,F3H,146.3924,2.1655185307952,7.19369684744779
Arabidopsis lyrata ,Seed (n=30),30,F3'H,2.725906,0.435510875568658,1.44673581318052
Arabidopsis lyrata ,Seed (n=30),30,F3'5'H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,FLS H,79.60975,1.90096626009811,6.31487322685287
Arabidopsis lyrata ,Seed (n=30),30,FLS F,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,FLS Y,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,DFR N,2.4951446,0.397095719162762,1.31912342584628
Arabidopsis lyrata ,Seed (n=30),30,DFR D,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,DFR A,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,DFR *,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,F3'H/F3H,0.183797439,-0.735660544287867,-2.44381143036999
Arabidopsis lyrata ,Leaf (n=26),26,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Leaf (n=26),26,DFR/FLS,0.113585095,-0.944678654399195,-3.13815456268907
Arabidopsis lyrata ,Flower (n=3),3,F3'H/F3H,0.102985996,-0.987221826492987,-3.27947992131307
Arabidopsis lyrata ,Flower (n=3),3,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Flower (n=3),3,DFR/FLS,0.001642741,-2.7844309034776,-9.24967924653486
Arabidopsis lyrata ,Seed (n=30),30,F3'H/F3H,0.018620543,-1.73000765856063,-5.74696104534285
Arabidopsis lyrata ,Seed (n=30),30,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis lyrata ,Seed (n=30),30,DFR/FLS,0.031342199,-1.50387053626365,-4.99574978548753
Arabidopsis thaliana,Leaf (n=71),71,F3H,4.50061,0.653271380815326,2.17012055351629
Arabidopsis thaliana,Leaf (n=71),71,F3'H,0.245951,-0.609151407324617,-2.02355717403182
Arabidopsis thaliana,Leaf (n=71),71,F3'5'H,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,FLS H,6.77431,0.830865066564428,2.76007400768083
Arabidopsis thaliana,Leaf (n=71),71,FLS F,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,FLS Y,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,DFR N,0.310677,-0.5076908971886,-1.68651265488938
Arabidopsis thaliana,Leaf (n=71),71,DFR D,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,DFR A,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,DFR *,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,F3H,74.89375,1.87444557666119,6.22677342344816
Arabidopsis thaliana,Flower (n=16),16,F3'H,20.84475,1.31899669081412,4.3816121642789
Arabidopsis thaliana,Flower (n=16),16,F3'5'H,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,FLS H,155.5415,2.19184628285738,7.28115574669837
Arabidopsis thaliana,Flower (n=16),16,FLS F,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,FLS Y,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,DFR N,0.084128,-1.07505943557373,-3.57127014270613
Arabidopsis thaliana,Flower (n=16),16,DFR D,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,DFR A,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,DFR *,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,F3H,51.4126,1.71106956724188,5.68405006772756
Arabidopsis thaliana,Root (n=23),23,F3'H,3.08119,0.488718479689014,1.62348764816957
Arabidopsis thaliana,Root (n=23),23,F3'5'H,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,FLS H,21.8948,1.34034098244465,4.45251636631182
Arabidopsis thaliana,Root (n=23),23,FLS F,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,FLS Y,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,DFR N,0.01,-2,-6.64385618977472
Arabidopsis thaliana,Root (n=23),23,DFR D,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,DFR A,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,DFR *,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,F3H,18.07205,1.25700741947794,4.17568826224562
Arabidopsis thaliana,Stem (n=14),14,F3'H,1.85115,0.26744161136926,0.888421802549493
Arabidopsis thaliana,Stem (n=14),14,F3'5'H,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,FLS H,3.877115,0.588508682906801,1.95498352783326
Arabidopsis thaliana,Stem (n=14),14,FLS F,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,FLS Y,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,DFR N,7.189785,0.856715903636055,2.84594862962542
Arabidopsis thaliana,Stem (n=14),14,DFR D,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,DFR A,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,DFR *,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,F3H,4.50061,0.653271380815326,2.17012055351629
Arabidopsis thaliana,Seed (n=7),7,F3'H,0.245951,-0.609151407324617,-2.02355717403182
Arabidopsis thaliana,Seed (n=7),7,F3'5'H,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,FLS H,2.55031,0.406592973809086,1.3506726228802
Arabidopsis thaliana,Seed (n=7),7,FLS F,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,FLS Y,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,DFR N,0.596217,-0.224595645041169,-0.746090583251608
Arabidopsis thaliana,Seed (n=7),7,DFR D,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,DFR A,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,DFR *,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,F3'H/F3H,0.05464837,-1.26242278724699,-4.19367772458179
Arabidopsis thaliana,Leaf (n=71),71,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis thaliana,Leaf (n=71),71,DFR/FLS,0.045861054,-1.3385559683343,-4.44658667778887
Arabidopsis thaliana,Flower (n=16),16,F3'H/F3H,0.278324293,-0.555448885453943,-1.84516125786333
Arabidopsis thaliana,Flower (n=16),16,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis thaliana,Flower (n=16),16,DFR/FLS,0.000540872,-3.2669055006438,-10.8524251659307
Arabidopsis thaliana,Root (n=23),23,F3'H/F3H,0.05993064,-1.22235108444294,-4.06056240922703
Arabidopsis thaliana,Root (n=23),23,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis thaliana,Root (n=23),23,DFR/FLS,0.000456729,-3.34034141199685,-11.0963739830281
Arabidopsis thaliana,Stem (n=14),14,F3'H/F3H,0.102431656,-0.989565806040654,-3.28726645282631
Arabidopsis thaliana,Stem (n=14),14,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis thaliana,Stem (n=14),14,DFR/FLS,1.854416235,0.268207220787365,0.890965101985204
Arabidopsis thaliana,Seed (n=7),7,F3'H/F3H,0.05464837,-1.26242278724699,-4.19367772458179
Arabidopsis thaliana,Seed (n=7),7,F3'5'H/F3H,1000000,6,19.9315685693242
Arabidopsis thaliana,Seed (n=7),7,DFR/FLS,0.233782168,-0.631188618215017,-2.0967632040216
Carica papaya,Leaf (n=16),16,F3H,32.5872,1.51304704604998,5.02623349115976
Carica papaya,Leaf (n=16),16,F3'H,11.13877205,1.04683731639397,3.47751829210561
Carica papaya,Leaf (n=16),16,F3'5'H,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,FLS H,46.60255,1.66840968108119,5.54233699336568
Carica papaya,Leaf (n=16),16,FLS F,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,FLS Y,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,DFR N,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,DFR D,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,DFR A,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,DFR *,0.04540545,-1.34289201580212,-4.46099071569298
Carica papaya,Flower (n=19),19,F3H,10.6272,1.02641885391829,3.40968962795326
Carica papaya,Flower (n=19),19,F3'H,10.279686,1.01197984904155,3.361724291991
Carica papaya,Flower (n=19),19,F3'5'H,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,FLS H,13.1792,1.11988904863961,3.7201908938326
Carica papaya,Flower (n=19),19,FLS F,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,FLS Y,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,DFR N,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,DFR D,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,DFR A,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,DFR *,0.2426,-0.615109203469446,-2.04334854442894
Carica papaya,Root (n=6),6,F3H,8.65518,0.937276104238433,3.11356382333623
Carica papaya,Root (n=6),6,F3'H,45.86158,1.66144901274589,5.51921415366344
Carica papaya,Root (n=6),6,F3'5'H,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,FLS H,0.0922218,-1.03516640540398,-3.43874836499506
Carica papaya,Root (n=6),6,FLS F,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,FLS Y,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,DFR N,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,DFR D,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,DFR A,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,DFR *,4.528545,0.655958687669943,2.17904759365623
Carica papaya,Fruit (n=33),33,F3H,39.4019,1.59551716445553,5.30019329447985
Carica papaya,Fruit (n=33),33,F3'H,3.4159,0.533505148292178,1.77226574087884
Carica papaya,Fruit (n=33),33,F3'5'H,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,FLS H,0.01,-2,-6.64385618977472
Carica papaya,Fruit (n=33),33,FLS F,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,FLS Y,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,DFR N,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,DFR D,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,DFR A,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,DFR *,0.01,-2,-6.64385618977472
Carica papaya,Leaf (n=16),16,F3'H/F3H,0.341814334,-0.466209729074102,-1.54871519712109
Carica papaya,Leaf (n=16),16,F3'5'H/F3H,1000000,6,19.9315685693242
Carica papaya,Leaf (n=16),16,DFR/FLS,0.000974313,-3.01130150273541,-10.0033270641133
Carica papaya,Flower (n=19),19,F3'H/F3H,0.967299571,-0.0144390048374,-0.047965335831575
Carica papaya,Flower (n=19),19,F3'5'H/F3H,1000000,6,19.9315685693242
Carica papaya,Flower (n=19),19,DFR/FLS,0.018407794,-1.73499825446348,-5.76353944608278
Carica papaya,Root (n=6),6,F3'H/F3H,5.298743643,0.724172908545529,2.40565033045369
Carica papaya,Root (n=6),6,F3'5'H/F3H,1000000,6,19.9315685693242
Carica papaya,Root (n=6),6,DFR/FLS,49.10492964,1.69112509310022,5.61779595873862
Carica papaya,Fruit (n=33),33,F3'H/F3H,0.086693789,-1.0620120155532,-3.52792755157412
Carica papaya,Fruit (n=33),33,F3'5'H/F3H,1000000,6,19.9315685693242
Carica papaya,Fruit (n=33),33,DFR/FLS,1,0,0
Anacardium occidentale ,Stem (n=12),12,F3H,147.836,2.16978020332524,7.20785381715653
Anacardium occidentale ,Stem (n=12),12,F3'H,3.23613,0.510025959525101,1.69426956406832
Anacardium occidentale ,Stem (n=12),12,F3'5'H,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,FLS H,0.64579495,-0.189905355410075,-0.630851935506299
Anacardium occidentale ,Stem (n=12),12,FLS F,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,FLS Y,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,DFR N,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,DFR D,928.768775,2.9679076060919,9.85917565970657
Anacardium occidentale ,Stem (n=12),12,DFR A,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,DFR *,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,F3'H/F3H,0.02189,-1.65975423843207,-5.51358423525587
Anacardium occidentale ,Stem (n=12),12,F3'5'H/F3H,1000000,6,19.9315685693242
Anacardium occidentale ,Stem (n=12),12,DFR/FLS,1438.179061,3.15781296140356,10.490027594886
Citrus trifoliata,Leaf (n=12) ,12,F3H,56.03105,1.74842876105285,5.80815462325056
Citrus trifoliata,Leaf (n=12) ,12,F3'H,30.17494787,1.47964652848634,4.91527937348133
Citrus trifoliata,Leaf (n=12) ,12,F3'5'H,0.01,-2,-6.64385618977472
Citrus trifoliata,Leaf (n=12) ,12,FLS H,134.8035,2.12970116824495,7.07471414450734
Citrus trifoliata,Leaf (n=12) ,12,FLS F,1000000,6,19.9315685693242
Citrus trifoliata,Leaf (n=12) ,12,FLS Y,1000000,6,19.9315685693242
Citrus trifoliata,Leaf (n=12) ,12,DFR N,1000000,6,19.9315685693242
Citrus trifoliata,Leaf (n=12) ,12,DFR D,0.01,-2,-6.64385618977472
